Game : (room:17)[R 507] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[R 455] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[R 457] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[R 455] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[R 457] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[D 20] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[G 1410] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
Game : (room:17)[R 531] WARNING: Character cHamish speech view 76 does not have necessary loop 6; switching to loop 0.
